Year,Country,id_3char,ECI,rank_cpi
1969,Ghana,gha,-0.8514959999999999,77.0
1969,Gabon,gab,-1.41464,95.0
1969,Ethiopia,eth,-0.87046,78.0
1969,Egypt,egy,-0.214962,49.0
1969,Algeria,dza,-0.521161,59.0
1969,Republic of the Congo,cog,-0.844418,75.0
1969,Cameroon,cmr,-0.8432360000000001,74.0
1969,Cote d'Ivoire,civ,-1.18414,89.0
1969,Angola,ago,-1.2235200000000002,90.0
1969,South Africa,zaf,-0.409667,54.0
1969,Zambia,zmb,-0.8427959999999999,73.0
1969,Syria,syr,-0.502398,58.0
1969,United Arab Emirates,are,0.693872,26.0
1969,Zimbabwe,zwe,1.08494,16.0
1969,Saudi Arabia,sau,-0.6229100000000001,65.0
1969,Qatar,qat,-0.645333,66.0
1969,Philippines,phl,-0.540272,60.0
1969,Pakistan,pak,-0.368162,53.0
1969,Oman,omn,-1.40809,94.0
1969,Burma,mmr,-1.13729,87.0
1969,Sri Lanka,lka,-0.908343,79.0
1969,Lebanon,lbn,0.533752,32.0
1969,Laos,lao,-0.923599,82.0
1969,Malaysia,mys,-0.579548,64.0
1969,South Korea,kor,0.732955,24.0
1969,Cambodia,khm,-0.922801,81.0
1969,Japan,jpn,1.94451,5.0
1969,Jordan,jor,0.596004,28.0
1969,China,chn,0.541641,31.0
1969,Israel,isr,0.712611,25.0
1969,Iran,irn,-0.7681899999999999,70.0
1969,India,ind,0.052822,44.0
1969,Indonesia,idn,-1.0897,86.0
1969,Hong Kong,hkg,1.26272,15.0
1969,Kuwait,kwt,-0.991073,84.0
1970,Greece,grc,0.263971,34.0
1970,Hungary,hun,1.01005,17.0
1970,Ireland,irl,0.967741,18.0
1970,Portugal,prt,0.9402209999999999,19.0
1970,Netherlands,nld,1.28366,15.0
1970,Norway,nor,1.31026,13.0
1970,Poland,pol,0.8338540000000001,22.0
1970,United Kingdom,gbr,2.0578,3.0
1970,Italy,ita,1.8465799999999999,7.0
1970,France,fra,1.7304599999999999,9.0
1970,Turkey,tur,-0.545683,61.0
1970,Spain,esp,0.8644149999999999,21.0
1970,Denmark,dnk,1.3882700000000001,12.0
1970,Germany,deu,2.30919,1.0
1970,Switzerland,che,2.1354900000000003,2.0
1970,Bulgaria,bgr,0.514371,32.0
1970,Belgium,bel,1.46409,10.0
1970,Austria,aut,1.99157,4.0
1970,Albania,alb,-0.024968,44.0
1970,Vietnam,vnm,-0.021656,43.0
1970,Romania,rou,0.606859,27.0
1970,Finland,fin,1.42408,11.0
1970,Sweden,swe,1.98691,5.0
1970,Trinidad and Tobago,tto,0.01314,42.0
1970,Costa Rica,cri,0.585106,29.0
1970,Thailand,tha,-0.826566,73.0
1970,Uruguay,ury,0.261768,35.0
1970,Paraguay,pry,-0.503316,59.0
1970,Peru,per,-0.907499,76.0
1970,Ecuador,ecu,-0.9985639999999999,80.0
1970,Colombia,col,-0.193596,51.0
1970,Chile,chl,-0.071417,45.0
1970,Brazil,bra,-0.54633,62.0
1970,Bolivia,bol,-0.7925369999999999,70.0
1970,Argentina,arg,-0.139189,49.0
1970,New Zealand,nzl,0.136762,39.0
1970,Australia,aus,0.06869600000000001,40.0
1970,United States,usa,1.7587400000000002,8.0
1970,El Salvador,slv,0.565368,31.0
1970,Panama,pan,0.9337540000000001,20.0
1970,Nicaragua,nic,0.237144,37.0
1970,Mexico,mex,0.256898,36.0
1970,Jamaica,jam,-0.259814,53.0
1970,Honduras,hnd,-0.17744400000000002,50.0
1970,Guatemala,gtm,0.32151799999999997,33.0
1970,Dominican Republic,dom,-0.6885359999999999,68.0
1970,Canada,can,0.671882,23.0
1970,Venezuela,ven,-0.6876220000000001,67.0
1970,Syria,syr,-0.43333699999999997,56.0
1970,Saudi Arabia,sau,-0.8792549999999999,75.0
1970,Tunisia,tun,-0.134677,47.0
1970,Togo,tgo,-1.07225,84.0
1970,Senegal,sen,-0.503889,60.0
1970,Sudan,sdn,-1.3078100000000001,95.0
1970,Nigeria,nga,-1.70208,96.0
1970,Mauritania,mrt,-0.604379,64.0
1970,Mozambique,moz,-0.80825,71.0
